DATE,WDFUELNYH
2016-07-22,1.351
2016-07-29,1.272
2016-08-05,1.269
2016-08-12,1.337
2016-08-19,1.477
2016-08-26,1.483
2016-09-02,1.422
2016-09-09,1.413
2016-09-16,1.397
2016-09-23,1.411
2016-09-30,1.465
2016-10-07,1.567
2016-10-14,1.566
2016-10-21,1.559
2016-10-28,1.560
2016-11-04,1.469
2016-11-11,1.421
2016-11-18,1.423
2016-11-25,1.516
2016-12-02,1.561
2016-12-09,1.605
2016-12-16,1.633
2016-12-23,1.640
2016-12-30,1.690
2017-01-06,1.676
2017-01-13,1.623
2017-01-20,1.612
2017-01-27,1.594
2017-02-03,1.621
2017-02-10,1.617
2017-02-17,1.607
2017-02-24,1.630
2017-03-03,1.606
2017-03-10,1.552
2017-03-17,1.498
2017-03-24,1.495
2017-03-31,1.535
2017-04-07,1.590
2017-04-14,1.645
2017-04-21,1.588
2017-04-28,1.521
2017-05-05,1.456
2017-05-12,1.470
2017-05-19,1.531
2017-05-26,1.584
2017-06-02,1.518
2017-06-09,1.432
2017-06-16,1.415
2017-06-23,1.374
2017-06-30,1.422
2017-07-07,1.465
2017-07-14,1.479
2017-07-21,1.525
2017-07-28,1.585
2017-08-04,1.646
2017-08-11,1.630
2017-08-18,1.592
2017-08-25,1.606
2017-09-01,1.718
2017-09-08,1.787
2017-09-15,1.743
2017-09-22,1.799
2017-09-29,1.837
2017-10-06,1.764
2017-10-13,1.77
2017-10-20,1.802
2017-10-27,1.828
2017-11-03,1.875
2017-11-10,1.928
2017-11-17,1.909
2017-11-24,1.932
2017-12-01,1.927
2017-12-08,1.894
2017-12-15,1.916
2017-12-22,1.939
2017-12-29,2.026
2018-01-05,2.07
2018-01-12,2.07
2018-01-19,2.065
2018-01-26,2.091
2018-02-02,2.074
2018-02-09,1.944
2018-02-16,1.874
2018-02-23,1.935
2018-03-02,1.917
2018-03-09,1.874
2018-03-16,1.879
2018-03-23,1.972
2018-03-30,2.017
2018-04-06,1.98
2018-04-13,2.071
2018-04-20,2.1
2018-04-27,2.145
2018-05-04,2.147
2018-05-11,2.219
2018-05-18,2.281
2018-05-25,2.27
2018-06-01,2.211
2018-06-08,2.157
2018-06-15,2.147
2018-06-22,2.113
2018-06-29,2.158
2018-07-06,2.17
2018-07-13,2.154
2018-07-20,2.084
2018-07-27,2.147
2018-08-03,2.131
2018-08-10,2.133
2018-08-17,2.109
2018-08-24,2.156
2018-08-31,2.233
2018-09-07,2.231
2018-09-14,2.236
2018-09-21,2.225
2018-09-28,2.315
2018-10-05,2.406
2018-10-12,2.37
2018-10-19,2.318
2018-10-26,2.277
2018-11-02,2.231
2018-11-09,2.189
2018-11-16,2.092
2018-11-23,1.999
2018-11-30,1.857
2018-12-07,1.885
2018-12-14,1.856
2018-12-21,1.773
2018-12-28,1.718
2019-01-04,1.709
2019-01-11,1.856
2019-01-18,1.878
2019-01-25,1.884
2019-02-01,1.879
2019-02-08,1.903
2019-02-15,1.945
2019-02-22,2.015
2019-03-01,2.003
2019-03-08,2.011
2019-03-15,1.984
2019-03-22,1.978
2019-03-29,1.979
2019-04-05,2.014
2019-04-12,2.065
2019-04-19,2.074
2019-04-26,2.094
2019-05-03,2.072
2019-05-10,2.05
2019-05-17,2.076
2019-05-24,2.03
2019-05-31,1.939
2019-06-07,1.803
2019-06-14,1.8
2019-06-21,1.847
2019-06-28,1.933
2019-07-05,1.91
2019-07-12,1.949
2019-07-19,1.902
2019-07-26,1.905
2019-08-02,1.909
2019-08-09,1.8
2019-08-16,1.817
2019-08-23,1.834
2019-08-30,1.831
2019-09-06,1.857
2019-09-13,1.909
2019-09-20,2.018
2019-09-27,1.963
2019-10-04,1.894
2019-10-11,1.929
2019-10-18,1.948
2019-10-25,1.976
2019-11-01,1.933
2019-11-08,1.94
2019-11-15,1.927
2019-11-22,1.913
2019-11-29,1.953
2019-12-06,1.919
2019-12-13,1.957
2019-12-20,2.024
2019-12-27,2.037
2020-01-03,2.037
2020-01-10,1.977
2020-01-17,1.881
2020-01-24,1.784
2020-01-31,1.662
2020-02-07,1.622
2020-02-14,1.66
2020-02-21,1.691
2020-02-28,1.531
2020-03-06,1.512
2020-03-13,1.205
2020-03-20,1.031
2020-03-27,1.075
2020-04-03,1.025
2020-04-10,1.026
2020-04-17,0.963
2020-04-24,0.764
2020-05-01,0.692
2020-05-08,0.847
2020-05-15,0.85
2020-05-22,0.951
2020-05-29,0.928
2020-06-05,1.026
2020-06-12,1.089
2020-06-19,1.183
2020-06-26,1.178
2020-07-03,1.194
2020-07-10,1.239
2020-07-17,1.226
2020-07-24,1.264
2020-07-31,1.242
2020-08-07,1.242
2020-08-14,1.229
2020-08-21,1.223
2020-08-28,1.219
2020-09-04,1.166
2020-09-11,1.077
2020-09-18,1.125
2020-09-25,1.117
2020-10-02,1.124
2020-10-09,1.176
2020-10-16,1.183
2020-10-23,1.158
2020-10-30,1.117
2020-11-06,1.144
2020-11-13,1.226
2020-11-20,1.258
2020-11-27,1.359
2020-12-04,1.368
2020-12-11,1.413
2020-12-18,1.479
2020-12-25,1.479
2021-01-01,1.478
2021-01-08,1.525
2021-01-15,1.592
2021-01-22,1.587
2021-01-29,1.597
2021-02-05,1.69
2021-02-12,1.757
2021-02-19,1.827
2021-02-26,1.885
2021-03-05,1.865
2021-03-12,1.927
2021-03-19,1.873
2021-03-26,1.785
2021-04-02,1.798
2021-04-09,1.8
2021-04-16,1.861
2021-04-23,1.872
2021-04-30,1.92
2021-05-07,1.993
2021-05-14,2.041
2021-05-21,2.02
2021-05-28,2.044
2021-06-04,2.103
2021-06-11,2.129
2021-06-18,2.096
2021-06-25,2.149
2021-07-02,2.14
2021-07-09,2.122
2021-07-16,2.134
2021-07-23,2.069
2021-07-30,2.167
2021-08-06,2.102
2021-08-13,2.079
2021-08-20,1.99
2021-08-27,2.072
2021-09-03,2.143
2021-09-10,2.127
2021-09-17,2.19
2021-09-24,2.217
2021-10-01,2.323
2021-10-08,2.467
2021-10-15,2.555
2021-10-22,2.568
2021-10-29,2.529
2021-11-05,2.464
2021-11-12,2.461
2021-11-19,2.378
2021-11-26,2.363
2021-12-03,2.096
2021-12-10,2.235
2021-12-17,2.233
2021-12-24,2.273
2021-12-31,2.362
2022-01-07,2.44
2022-01-14,2.592
2022-01-21,2.681
2022-01-28,2.734
2022-02-04,2.791
2022-02-11,2.907
2022-02-18,2.881
2022-02-25,2.855
2022-03-04,3.5
2022-03-11,3.877
2022-03-18,3.409
2022-03-25,4.156
2022-04-01,3.729
2022-04-08,3.704
2022-04-15,3.759
2022-04-22,4.091
