DATE,NUGLCBW027NBOG
1999-12-29,-7.7835
2000-01-05,-9.5113
2000-01-12,-9.0312
2000-01-19,-8.8572
2000-01-26,-8.8051
2000-02-02,-9.5356
2000-02-09,-9.2668
2000-02-16,-9.2688
2000-02-23,-9.1566
2000-03-01,-9.0652
2000-03-08,-8.7206
2000-03-15,-8.5710
2000-03-22,-8.2299
2000-03-29,-8.3204
2000-04-05,-8.9825
2000-04-12,-9.6276
2000-04-19,-9.1798
2000-04-26,-9.4041
2000-05-03,-10.5535
2000-05-10,-10.5926
2000-05-17,-11.0298
2000-05-24,-10.9036
2000-05-31,-10.1881
2000-06-07,-10.4456
2000-06-14,-10.1630
2000-06-21,-10.0025
2000-06-28,-7.9171
2000-07-05,-7.8615
2000-07-12,-7.9235
2000-07-19,-8.0701
2000-07-26,-7.5431
2000-08-02,-7.4413
2000-08-09,-7.1347
2000-08-16,-7.1068
2000-08-23,-6.9555
2000-08-30,-6.9651
2000-09-06,-5.9228
2000-09-13,-5.7499
2000-09-20,-6.0260
2000-09-27,-5.8922
2000-10-04,-4.5239
2000-10-11,-4.6404
2000-10-18,-4.5947
2000-10-25,-4.4054
2000-11-01,-4.1053
2000-11-08,-3.9244
2000-11-15,-3.6835
2000-11-22,-3.7187
2000-11-29,-3.5215
2000-12-06,-1.8733
2000-12-13,-1.5723
2000-12-20,-1.1006
2000-12-27,-1.0418
2001-01-03,0.9555
2001-01-10,0.6795
2001-01-17,0.6190
2001-01-24,0.9283
2001-01-31,1.7563
2001-02-07,3.4404
2001-02-14,3.0391
2001-02-21,3.2809
2001-02-28,3.9179
2001-03-07,4.0176
2001-03-14,3.5882
2001-03-21,3.9078
2001-03-28,3.5513
2001-04-04,3.6887
2001-04-11,3.5913
2001-04-18,3.5582
2001-04-25,3.3405
2001-05-02,2.3304
2001-05-09,2.5748
2001-05-16,1.8896
2001-05-23,1.6891
2001-05-30,1.3377
2001-06-06,1.7678
2001-06-13,1.8899
2001-06-20,2.1146
2001-06-27,1.7798
2001-07-04,1.1307
2001-07-11,1.4288
2001-07-18,2.0831
2001-07-25,1.9586
2001-08-01,4.7201
2001-08-08,4.0385
2001-08-15,3.9111
2001-08-22,4.0411
2001-08-29,4.4463
2001-09-05,4.8461
2001-09-12,4.6371
2001-09-19,5.6004
2001-09-26,6.2477
2001-10-03,8.2452
2001-10-10,7.3114
2001-10-17,7.0586
2001-10-24,7.0683
2001-10-31,7.9090
2001-11-07,9.3006
2001-11-14,8.7675
2001-11-21,7.6951
2001-11-28,7.8874
2001-12-05,4.4084
2001-12-12,5.0583
2001-12-19,4.3776
2001-12-26,4.2668
2002-01-02,2.5594
2002-01-09,1.4494
2002-01-16,2.7851
2002-01-23,2.3635
2002-01-30,2.6469
2002-02-06,3.2863
2002-02-13,3.1358
2002-02-20,3.6396
2002-02-27,3.9892
2002-03-06,4.4621
2002-03-13,4.0813
2002-03-20,3.4919
2002-03-27,3.4390
2002-04-03,0.5013
2002-04-10,1.3253
2002-04-17,1.3428
2002-04-24,1.6895
2002-05-01,5.0517
2002-05-08,3.9697
2002-05-15,4.0080
2002-05-22,4.5530
2002-05-29,4.6230
2002-06-05,5.8730
2002-06-12,5.8690
2002-06-19,6.4500
2002-06-26,6.3949
2002-07-03,7.1148
2002-07-10,7.2645
2002-07-17,7.1150
2002-07-24,7.5282
2002-07-31,8.1141
2002-08-07,8.4322
2002-08-14,8.1801
2002-08-21,7.9762
2002-08-28,7.3924
2002-09-04,10.6713
2002-09-11,9.6779
2002-09-18,10.5434
2002-09-25,10.5707
2002-10-02,11.7677
2002-10-09,11.6234
2002-10-16,10.5509
2002-10-23,10.1271
2002-10-30,11.1222
2002-11-06,10.2825
2002-11-13,10.8916
2002-11-20,9.2716
2002-11-27,11.1217
2002-12-04,8.6853
2002-12-11,9.5037
2002-12-18,9.4226
2002-12-25,9.8697
2003-01-01,10.6401
2003-01-08,10.0358
2003-01-15,10.3474
2003-01-22,11.3188
2003-01-29,10.8495
2003-02-05,10.2388
2003-02-12,10.2236
2003-02-19,10.4682
2003-02-26,10.8529
2003-03-05,12.6459
2003-03-12,11.5265
2003-03-19,9.7256
2003-03-26,9.9354
2003-04-02,9.3656
2003-04-09,10.0299
2003-04-16,9.5506
2003-04-23,8.4432
2003-04-30,9.6318
2003-05-07,10.1118
2003-05-14,10.0942
2003-05-21,10.7314
2003-05-28,10.5229
2003-06-04,13.1979
2003-06-11,13.0924
2003-06-18,12.1465
2003-06-25,12.6958
2003-07-02,10.2206
2003-07-09,8.2615
2003-07-16,6.8371
2003-07-23,5.3049
2003-07-30,1.7866
2003-08-06,0.6350
2003-08-13,0.1157
2003-08-20,0.5892
2003-08-27,-0.3865
2003-09-03,-2.2570
2003-09-10,1.7975
2003-09-17,2.9249
2003-09-24,3.0483
2003-10-01,3.7837
2003-10-08,1.5707
2003-10-15,0.7779
2003-10-22,1.5153
2003-10-29,1.9601
2003-11-05,1.2501
2003-11-12,1.1097
2003-11-19,2.3677
2003-11-26,2.2148
2003-12-03,0.4819
2003-12-10,1.6331
2003-12-17,3.3120
2003-12-24,2.9067
2003-12-31,5.1152
2004-01-07,3.4449
2004-01-14,4.7514
2004-01-21,4.8428
2004-01-28,3.2424
2004-02-04,4.6164
2004-02-11,5.2027
2004-02-18,8.7075
2004-02-25,9.1164
2004-03-03,9.3127
2004-03-10,11.1427
2004-03-17,11.3750
2004-03-24,11.5380
2004-03-31,13.8855
2004-04-07,8.3633
2004-04-14,4.9281
2004-04-21,2.9921
2004-04-28,2.7336
2004-05-05,-3.3365
2004-05-12,-5.6431
2004-05-19,-6.4582
2004-05-26,-4.6331
2004-06-02,-5.6326
2004-06-09,-5.5669
2004-06-16,-5.8320
2004-06-23,-5.2359
2004-06-30,-3.6527
2004-07-07,-1.4539
2004-07-14,-2.7098
2004-07-21,-1.7192
2004-07-28,-3.0905
2004-08-04,-1.5693
2004-08-11,-0.2833
2004-08-18,0.5511
2004-08-25,0.5490
2004-09-01,2.9510
2004-09-08,2.3974
2004-09-15,1.7090
2004-09-22,2.9772
2004-09-29,2.0702
2004-10-06,1.0487
2004-10-13,2.2848
2004-10-20,2.8937
2004-10-27,2.1088
2004-11-03,3.0627
2004-11-10,0.9508
2004-11-17,1.8056
2004-11-24,2.0718
2004-12-01,0.3650
2004-12-08,2.1431
2004-12-15,2.3591
2004-12-22,1.6305
2004-12-29,0.7732
2005-01-05,1.4349
2005-01-12,2.0579
2005-01-19,1.8710
2005-01-26,1.7032
2005-02-02,2.6221
2005-02-09,3.1482
2005-02-16,1.6294
2005-02-23,0.6024
2005-03-02,-2.6410
2005-03-09,-3.8855
2005-03-16,-5.2404
2005-03-23,-7.6297
2005-03-30,-6.5263
2005-04-06,-4.5456
2005-04-13,-4.0123
2005-04-20,-1.7938
2005-04-27,-2.3885
2005-05-04,-0.0869
2005-05-11,-1.3572
2005-05-18,0.2112
2005-05-25,0.5886
2005-06-01,3.4219
2005-06-08,2.6444
2005-06-15,0.6916
2005-06-22,2.0790
2005-06-29,1.5311
2005-07-06,1.3033
2005-07-13,0.0673
2005-07-20,0.1212
2005-07-27,-0.9619
2005-08-03,-2.6401
2005-08-10,-3.6391
2005-08-17,-2.7609
2005-08-24,-2.0444
2005-08-31,0.1570
2005-09-07,-1.0976
2005-09-14,-1.3218
2005-09-21,-1.7180
2005-09-28,-2.5478
2005-10-05,-5.6320
2005-10-12,-6.3995
2005-10-19,-6.6659
2005-10-26,-8.2957
2005-11-02,-10.9292
2005-11-09,-11.5449
2005-11-16,-9.9823
2005-11-23,-8.9932
2005-11-30,-9.0473
2005-12-07,-9.9168
2005-12-14,-9.0200
2005-12-21,-9.1740
2005-12-28,-7.9400
2006-01-04,-6.5134
2006-01-11,-7.5908
2006-01-18,-6.2028
2006-01-25,-7.5690
2006-02-01,-8.9992
2006-02-08,-8.5295
2006-02-15,-9.4380
2006-02-22,-8.2618
2006-03-01,-8.3423
2006-03-08,-10.4910
2006-03-15,-10.1682
2006-03-22,-9.8071
2006-03-29,-11.1442
2006-04-05,-13.2279
2006-04-12,-14.9358
2006-04-19,-15.1724
2006-04-26,-16.2941
2006-05-03,-17.3069
2006-05-10,-16.9100
2006-05-17,-17.5698
2006-05-24,-16.5629
2006-05-31,-17.8237
2006-06-07,-16.9420
2006-06-14,-17.5519
2006-06-21,-19.1016
2006-06-28,-20.5325
2006-07-05,-21.3063
2006-07-12,-19.4427
2006-07-19,-19.0211
2006-07-26,-18.1551
2006-08-02,-14.4055
2006-08-09,-13.8257
2006-08-16,-12.8770
2006-08-23,-12.4344
2006-08-30,-11.5650
2006-09-06,-11.4840
2006-09-13,-9.6372
2006-09-20,-9.1743
2006-09-27,-7.8896
2006-10-04,-6.1463
2006-10-11,-9.0935
2006-10-18,-7.7831
2006-10-25,-8.0289
2006-11-01,-5.2001
2006-11-08,-5.7769
2006-11-15,-6.0559
2006-11-22,-4.7791
2006-11-29,-4.0958
2006-12-06,-0.5192
2006-12-13,-0.7838
2006-12-20,-2.6095
2006-12-27,-3.6909
2007-01-03,-3.6891
2007-01-10,-4.3405
2007-01-17,-5.3831
2007-01-24,-5.1366
2007-01-31,-6.1011
2007-02-07,-5.9524
2007-02-14,-6.0354
2007-02-21,-5.7704
2007-02-28,-3.7829
2007-03-07,-2.3509
2007-03-14,-2.5376
2007-03-21,-2.2448
2007-03-28,-3.2765
2007-04-04,-3.5277
2007-04-11,-4.8291
2007-04-18,-4.0110
2007-04-25,-4.0758
2007-05-02,-4.2214
2007-05-09,-4.3698
2007-05-16,-4.9448
2007-05-23,-6.5009
2007-05-30,-7.2039
2007-06-06,-10.9983
2007-06-13,-13.9831
2007-06-20,-13.0955
2007-06-27,-12.7648
2007-07-04,-15.6866
2007-07-11,-16.2812
2007-07-18,-15.6649
2007-07-25,-15.0798
2007-08-01,-14.8935
2007-08-08,-15.0161
2007-08-15,-15.3118
2007-08-22,-14.0950
2007-08-29,-13.1254
2007-09-05,-11.4500
2007-09-12,-11.0352
2007-09-19,-10.6364
2007-09-26,-12.2346
2007-10-03,-9.2128
2007-10-10,-10.4380
2007-10-17,-9.7928
2007-10-24,-7.9484
2007-10-31,-10.6318
2007-11-07,-9.4342
2007-11-14,-8.8145
2007-11-21,-7.7162
2007-11-28,-7.3301
2007-12-05,-4.6140
2007-12-12,-7.1966
2007-12-19,-6.6243
2007-12-26,-9.0277
2008-01-02,-5.4678
2008-01-09,-5.0347
2008-01-16,-3.8547
2008-01-23,-1.8005
2008-01-30,-4.2234
2008-02-06,-3.3756
2008-02-13,-5.6380
2008-02-20,-10.4578
2008-02-27,-11.0559
2008-03-05,-18.6591
2008-03-12,-16.3358
2008-03-19,-14.0289
2008-03-26,-15.5137
2008-04-02,-20.9353
2008-04-09,-19.8042
2008-04-16,-22.6885
2008-04-23,-21.6719
2008-04-30,-22.5258
2008-05-07,-20.4477
2008-05-14,-21.0368
2008-05-21,-21.7704
2008-05-28,-23.9253
2008-06-04,-24.6177
2008-06-11,-28.2766
2008-06-18,-28.5793
2008-06-25,-28.7400
2008-07-02,-31.8141
2008-07-09,-27.7354
2008-07-16,-28.4065
2008-07-23,-34.4030
2008-07-30,-32.3752
2008-08-06,-42.8077
2008-08-13,-43.0285
2008-08-20,-38.8979
2008-08-27,-38.0544
2008-09-03,-39.7614
2008-09-10,-37.5675
2008-09-17,-38.0514
2008-09-24,-41.3822
2008-10-01,-52.1800
2008-10-08,-49.3755
2008-10-15,-54.7705
2008-10-22,-49.5376
2008-10-29,-55.6738
2008-11-05,-67.5092
2008-11-12,-66.8503
2008-11-19,-70.0785
2008-11-26,-66.6227
2008-12-03,-72.2214
2008-12-10,-71.8432
2008-12-17,-72.1674
2008-12-24,-74.1985
2008-12-31,-68.1026
2009-01-07,-59.6939
2009-01-14,-60.4562
2009-01-21,-59.8370
2009-01-28,-59.6336
2009-02-04,-58.7428
2009-02-11,-55.2885
2009-02-18,-51.0736
2009-02-25,-56.0589
2009-03-04,-58.6512
2009-03-11,-58.7775
2009-03-18,-55.8560
2009-03-25,-55.5521
2009-04-01,-45.3173
2009-04-08,-45.4037
2009-04-15,-45.9545
2009-04-22,-46.4344
2009-04-29,-46.6551
2009-05-06,-42.3477
2009-05-13,-40.7405
2009-05-20,-37.8327
2009-05-27,-39.5217
2009-06-03,-35.2066
2009-06-10,-40.8159
2009-06-17,-34.3590
2009-06-24,-34.9886
2009-07-01,-32.1888
2009-07-08,-25.8535
2009-07-15,-30.2802
2009-07-22,-28.5405
2009-07-29,-26.0750
2009-08-05,-21.6973
2009-08-12,-22.6574
2009-08-19,-20.2403
2009-08-26,-17.7184
2009-09-02,-12.6964
2009-09-09,-13.2828
2009-09-16,-13.2985
2009-09-23,-11.8192
2009-09-30,0.4069
2009-10-07,0.0356
2009-10-14,-1.3802
2009-10-21,-0.7966
2009-10-28,1.7199
2009-11-04,1.0756
2009-11-11,2.0120
2009-11-18,2.8624
2009-11-25,5.8996
2009-12-02,4.8793
2009-12-09,5.2942
2009-12-16,3.5171
2009-12-23,2.1391
2009-12-30,2.4477
2010-01-06,-3.7233
2010-01-13,-0.9654
2010-01-20,0.4647
2010-01-27,1.7911
2010-02-03,5.8268
2010-02-10,4.9608
2010-02-17,4.3933
2010-02-24,5.4113
2010-03-03,6.1014
2010-03-10,5.4163
2010-03-17,6.6492
2010-03-24,5.6540
2010-03-31,5.1621
2010-04-07,2.6544
2010-04-14,2.2865
2010-04-21,5.3944
2010-04-28,6.9607
2010-05-05,9.2007
2010-05-12,8.6278
2010-05-19,12.9595
2010-05-26,13.6399
2010-06-02,10.1841
2010-06-09,12.5038
2010-06-16,10.8904
2010-06-23,15.2802
2010-06-30,16.9044
2010-07-07,16.8475
2010-07-14,16.5375
2010-07-21,19.1585
2010-07-28,18.8015
2010-08-04,21.9532
2010-08-11,21.0110
2010-08-18,20.4589
2010-08-25,22.8648
2010-09-01,17.0438
2010-09-08,18.3900
2010-09-15,18.7444
2010-09-22,21.2012
2010-09-29,22.3983
2010-10-06,20.0984
2010-10-13,20.3925
2010-10-20,21.5696
2010-10-27,20.7444
2010-11-03,22.0061
2010-11-10,19.6997
2010-11-17,18.9333
2010-11-24,20.5294
2010-12-01,11.9677
2010-12-08,10.0043
2010-12-15,5.9265
2010-12-22,10.2945
2010-12-29,11.5993
2011-01-05,4.4658
2011-01-12,6.7148
2011-01-19,7.4385
2011-01-26,7.9344
2011-02-02,4.7165
2011-02-09,3.6743
2011-02-16,4.2129
2011-02-23,8.4161
2011-03-02,5.4681
2011-03-09,6.3165
2011-03-16,9.5033
2011-03-23,8.5005
2011-03-30,6.5127
2011-04-06,5.5739
2011-04-13,7.1660
2011-04-20,9.4995
2011-04-27,12.1146
2011-05-04,16.0020
2011-05-11,15.9913
2011-05-18,16.9553
2011-05-25,19.5629
2011-06-01,19.0626
2011-06-08,21.5245
2011-06-15,19.5890
2011-06-22,21.7129
2011-06-29,19.5406
2011-07-06,17.0831
2011-07-13,19.3115
2011-07-20,19.8224
2011-07-27,19.4727
2011-08-03,24.2912
2011-08-10,29.3437
2011-08-17,28.7716
2011-08-24,22.5201
2011-08-31,23.8663
2011-09-07,27.8414
2011-09-14,27.8917
2011-09-21,31.6078
2011-09-28,30.2056
2011-10-05,24.7842
2011-10-12,20.0605
2011-10-19,20.8726
2011-10-26,21.7007
2011-11-02,23.7110
2011-11-09,23.3951
2011-11-16,22.3576
2011-11-23,24.5787
2011-11-30,21.7516
2011-12-07,21.1748
2011-12-14,22.1410
2011-12-21,22.1531
2011-12-28,22.7454
2012-01-04,20.1679
2012-01-11,22.8543
2012-01-18,23.6415
2012-01-25,23.2496
2012-02-01,24.7603
2012-02-08,25.6646
2012-02-15,26.6023
2012-02-22,26.3835
2012-02-29,27.1907
2012-03-07,25.4727
2012-03-14,22.0721
2012-03-21,22.8572
2012-03-28,24.4129
2012-04-04,23.3678
2012-04-11,27.6931
2012-04-18,28.4776
2012-04-25,28.4513
2012-05-02,28.1785
2012-05-09,30.5597
2012-05-16,31.4340
2012-05-23,32.6609
2012-05-30,35.1457
2012-06-06,28.8602
2012-06-13,29.4235
2012-06-20,29.0997
2012-06-27,34.5874
2012-07-04,27.3226
2012-07-11,30.7391
2012-07-18,32.0763
2012-07-25,35.4727
2012-08-01,32.0630
2012-08-08,31.4319
2012-08-15,28.9744
2012-08-22,30.5372
2012-08-29,33.1865
2012-09-05,33.4924
2012-09-12,32.2181
2012-09-19,32.8899
2012-09-26,37.5848
2012-10-03,37.6670
2012-10-10,36.1307
2012-10-17,34.5227
2012-10-24,36.6407
2012-10-31,36.5863
2012-11-07,35.7399
2012-11-14,35.5662
2012-11-21,35.1639
2012-11-28,37.2343
2012-12-05,36.5719
2012-12-12,34.2591
2012-12-19,31.6221
2012-12-26,33.9913
2013-01-02,31.6332
2013-01-09,32.8234
2013-01-16,33.1885
2013-01-23,34.1403
2013-01-30,31.3383
2013-02-06,30.0678
2013-02-13,28.2950
2013-02-20,28.4675
2013-02-27,31.5158
2013-03-06,28.9195
2013-03-13,27.0429
2013-03-20,28.1033
2013-03-27,30.7581
2013-04-03,30.1001
2013-04-10,30.0298
2013-04-17,31.2591
2013-04-24,33.0324
2013-05-01,32.3909
2013-05-08,31.2290
2013-05-15,29.0133
2013-05-22,27.4658
2013-05-29,25.8234
2013-06-05,16.4389
2013-06-12,15.8092
2013-06-19,14.0295
2013-06-26,7.1162
2013-07-03,-0.6447
2013-07-10,-2.2002
2013-07-17,1.9377
2013-07-24,0.3302
2013-07-31,-0.3185
2013-08-07,-0.1332
2013-08-14,-2.3217
2013-08-21,-8.6057
2013-08-28,-5.6786
2013-09-04,-10.2953
2013-09-11,-8.1196
2013-09-18,-0.8738
2013-09-25,3.9129
2013-10-02,4.6647
2013-10-09,1.9883
2013-10-16,2.7227
2013-10-23,8.1115
2013-10-30,8.5685
2013-11-06,5.9097
2013-11-13,3.2719
2013-11-20,3.5821
2013-11-27,4.0063
2013-12-04,-2.5080
2013-12-11,0.4103
2013-12-18,-2.6914
2013-12-25,-4.3278
2014-01-01,-4.6173
2014-01-08,-4.4605
2014-01-15,-0.4875
2014-01-22,0.5872
2014-01-29,6.5576
2014-02-05,5.334
2014-02-12,2.1296
2014-02-19,2.9559
2014-02-26,6.782
2014-03-05,5.1614
2014-03-12,3.8094
2014-03-19,0.6919
2014-03-26,4.9443
2014-04-02,-1.6109
2014-04-09,4.7886
2014-04-16,6.013
2014-04-23,5.9118
2014-04-30,8.3268
2014-05-07,9.4267
2014-05-14,11.9117
2014-05-21,12.6193
2014-05-28,16.5924
2014-06-04,10.7926
2014-06-11,7.8352
2014-06-18,8.6413
2014-06-25,12.2248
2014-07-02,8.3485
2014-07-09,9.9024
2014-07-16,8.7082
2014-07-23,11.2047
2014-07-30,9.6518
2014-08-06,10.6496
2014-08-13,12.1375
2014-08-20,11.2076
2014-08-27,13.3857
2014-09-03,11.8154
2014-09-10,7.9751
2014-09-17,6.4736
2014-09-24,8.4854
2014-10-01,11.1008
2014-10-08,14.8682
2014-10-15,20.8557
2014-10-22,17.5140
2014-10-29,14.9093
2014-11-05,12.8259
2014-11-12,12.1744
2014-11-19,12.6047
2014-11-26,16.5253
2014-12-03,14.2068
2014-12-10,15.6101
2014-12-17,15.0508
2014-12-24,12.1708
2014-12-31,15.4170
2015-01-07,18.0771
2015-01-14,23.1173
2015-01-21,21.1462
2015-01-28,24.9900
2015-02-04,21.6887
2015-02-11,14.4150
2015-02-18,13.7920
2015-02-25,16.0555
2015-03-04,12.8131
2015-03-11,14.9458
2015-03-18,20.6688
2015-03-25,22.0983
2015-04-01,23.1102
2015-04-08,23.1965
2015-04-15,23.4530
2015-04-22,21.2117
2015-04-29,19.8846
2015-05-06,14.1373
2015-05-13,13.8569
2015-05-20,13.9749
2015-05-27,15.6453
2015-06-03,8.7558
2015-06-10,5.4504
2015-06-17,10.1367
2015-06-24,8.5723
2015-07-01,6.4523
2015-07-08,13.7682
2015-07-15,10.1373
2015-07-22,10.2243
2015-07-29,10.9635
2015-08-05,9.3928
2015-08-12,13.3006
2015-08-19,13.0812
2015-08-26,12.1196
2015-09-02,10.522
2015-09-09,11.3683
2015-09-16,7.4502
2015-09-23,12.8034
2015-09-30,14.7932
2015-10-07,14.2113
2015-10-14,15.964
2015-10-21,14.4045
2015-10-28,12.4499
2015-11-04,7.877
2015-11-11,4.9041
2015-11-18,6.4969
2015-11-25,6.71
2015-12-02,8.0038
2015-12-09,6.8708
2015-12-16,3.516
2015-12-23,3.6641
2015-12-30,3.0714
2016-01-06,7.9051
2016-01-13,11.2715
2016-01-20,13.4913
2016-01-27,12.9999
2016-02-03,16.1003
2016-02-10,17.764
2016-02-17,14.5759
2016-02-24,13.5156
2016-03-02,10.2211
2016-03-09,7.8045
2016-03-16,8.1333
2016-03-23,10.08
2016-03-30,12.2364
2016-04-06,15.1762
2016-04-13,15.7123
2016-04-20,13.9973
2016-04-27,13.5246
2016-05-04,16.9776
2016-05-11,18.5185
2016-05-18,13.3024
2016-05-25,13.2268
2016-06-01,14.1115
2016-06-08,18.0795
2016-06-15,21.4131
2016-06-22,19.1416
2016-06-29,24.1299
2016-07-06,25.0573
2016-07-13,23.137
2016-07-20,20.6439
2016-07-27,21.0422
2016-08-03,21.8086
2016-08-10,22.6785
2016-08-17,20.716
2016-08-24,21.9684
2016-08-31,21.5122
2016-09-07,22.3795
2016-09-14,18.826
2016-09-21,18.2278
2016-09-28,20.9169
2016-10-05,17.5949
2016-10-12,15.2628
2016-10-19,16.5452
2016-10-26,15.4196
2016-11-02,16.4422
2016-11-09,8.1854
2016-11-16,-1.0849
2016-11-23,-8.9326
2016-11-30,-10.6065
2016-12-07,-3.4289
2016-12-14,-11.0668
2016-12-21,-12.919
2016-12-28,-11.679
2017-01-04,-7.3537
2017-01-11,-3.6462
2017-01-18,-4.8196
2017-01-25,-10.2875
2017-02-01,-7.5941
2017-02-08,-1.9224
2017-02-15,-8.9857
2017-02-22,-5.4402
2017-03-01,-7.9031
2017-03-08,-12.636
2017-03-15,-11.2817
2017-03-22,-6.098
2017-03-29,-5.7324
2017-04-05,-2.4072
2017-04-12,-0.344
2017-04-19,4.1548
2017-04-26,-0.9516
2017-05-03,-0.7062
2017-05-10,-4.2655
2017-05-17,3.3141
2017-05-24,1.8011
2017-05-31,4.2714
2017-06-07,4.1809
2017-06-14,4.8673
2017-06-21,3.7422
2017-06-28,2.9622
2017-07-05,-0.5324
2017-07-12,0.7596
2017-07-19,3.0172
2017-07-26,2.8389
2017-08-02,4.201
2017-08-09,5.2141
2017-08-16,5.2851
2017-08-23,6.6076
2017-08-30,7.2355
2017-09-06,8.2468
2017-09-13,5.331
2017-09-20,2.6579
2017-09-27,1.3838
2017-10-04,2.6061
2017-10-11,1.8935
2017-10-18,1.8289
2017-10-25,-2.025
2017-11-01,-0.0202
2017-11-08,2.354
2017-11-15,0.3071
2017-11-22,-0.3207
2017-11-29,-2.8947
2017-12-06,-0.312
2017-12-13,-0.8015
2017-12-20,-7.2917
2017-12-27,-3.9351
2018-01-03,-3.6057
2018-01-10,-8.331
2018-01-17,-10.2204
2018-01-24,-13.3427
2018-01-31,-19.3279
2018-02-07,-21.3795
2018-02-14,-26.0323
2018-02-21,-26.7378
2018-02-28,-26.2464
2018-03-07,-26.7892
2018-03-14,-23.8871
2018-03-21,-27.0361
2018-03-28,-21.93
2018-04-04,-21.6513
2018-04-11,-21.545
2018-04-18,-24.691
2018-04-25,-31.1138
2018-05-02,-27.8353
2018-05-09,-28.3795
2018-05-16,-32.3439
2018-05-23,-28.4034
