DATE,WLDLCL
2008-08-13,30480
2008-08-20,16051
2008-08-27,24850
2008-09-03,16959
2008-09-10,38295
2008-09-17,106045
2008-09-24,275076
2008-10-01,560424
2008-10-08,655226
2008-10-15,795712
2008-10-22,842202
2008-10-29,1005698
2008-11-05,1104130
2008-11-12,1234931
2008-11-19,1209231
2008-11-26,1117260
2008-12-03,1155047
2008-12-10,1267649
2008-12-17,1286877
2008-12-24,1241984
2008-12-31,1248034
2009-01-07,1133690
2009-01-14,1075978
2009-01-21,1060796
2009-01-28,955471
2009-02-04,873487
2009-02-11,862321
2009-02-18,932687
2009-02-25,937028
2009-03-04,915900
2009-03-11,915584
2009-03-18,1083408
2009-03-25,1085260
2009-04-01,1089916
2009-04-08,1098105
2009-04-15,1192639
2009-04-22,1211172
2009-04-29,1078143
2009-05-06,1098804
2009-05-13,1208705
2009-05-20,1195962
2009-05-27,1090438
2009-06-03,1087581
2009-06-10,1063328
2009-06-17,1079880
2009-06-24,1031267
2009-07-01,1006269
2009-07-08,995992
2009-07-15,1079190
2009-07-22,1046319
2009-07-29,1007573
2009-08-05,992553
2009-08-12,1017413
2009-08-19,1062614
2009-08-26,1078444
2009-09-02,1083662
2009-09-09,1085745
2009-09-16,1137858
2009-09-23,1156577
2009-09-30,1139169
2009-10-07,1139768
2009-10-14,1187813
2009-10-21,1201057
2009-10-28,1158575
2009-11-04,1163861
2009-11-11,1127923
2009-11-18,1205820
2009-11-25,1200735
2009-12-02,1199897
2009-12-09,1181114
2009-12-16,1222213
2009-12-23,1220369
2009-12-30,1209135
2010-01-06,1218664
2010-01-13,1276233
2010-01-20,1242111
2010-01-27,1246343
2010-02-03,1248379
2010-02-10,1243262
2010-02-17,1263328
2010-02-24,1272212
2010-03-03,1267463
2010-03-10,1266950
2010-03-17,1293565
2010-03-24,1300884
2010-03-31,1291505
2010-04-07,1290136
2010-04-14,1320115
2010-04-21,1323622
2010-04-28,1311410
2010-05-05,1306108
2010-05-12,1310842
2010-05-19,1327711
2010-05-26,1306800
2010-06-02,1303278
2010-06-09,1299568
2010-06-16,1313839
2010-06-23,1314448
2010-06-30,1289799
2010-07-07,1289917
2010-07-14,1301268
2010-07-21,1298309
2010-07-28,1289145
2010-08-04,1288721
2010-08-11,1289618
2010-08-18,1276595
2010-08-25,1263647
2010-09-01,1263356
2010-09-08,1261838
2010-09-15,1254446
2010-09-22,1265409
2010-09-29,1246820
2010-10-06,1253413
2010-10-13,1255230
2010-10-20,1254670
2010-10-27,1245275
2010-11-03,1226930
2010-11-10,1225513
2010-11-17,1229659
2010-11-24,1255266
2010-12-01,1259673
2010-12-08,1295441
2010-12-15,1297332
2010-12-22,1335513
2010-12-29,1318755
2011-01-05,1342661
2011-01-12,1381913
2011-01-19,1363408
2011-01-26,1386477
2011-02-02,1399776
2011-02-09,1427327
2011-02-16,1430234
2011-02-23,1446617
2011-03-02,1454195
2011-03-09,1490636
2011-03-16,1488664
2011-03-23,1507737
2011-03-30,1523388
2011-04-06,1556060
2011-04-13,1571282
2011-04-20,1589177
2011-04-27,1589079
2011-05-04,1614875
2011-05-11,1642882
2011-05-18,1653841
2011-05-25,1671290
2011-06-01,1672639
2011-06-08,1697015
2011-06-15,1706278
2011-06-22,1737843
2011-06-29,1741700
2011-07-06,1741336
2011-07-13,1755249
2011-07-20,1749817
2011-07-27,1741360
2011-08-03,1738471
2011-08-10,1715192
2011-08-17,1701186
2011-08-24,1699730
2011-08-31,1684806
2011-09-07,1685185
2011-09-14,1702361
2011-09-21,1702799
2011-09-28,1703116
2011-10-05,1707365
2011-10-12,1713420
2011-10-19,1701496
2011-10-26,1697001
2011-11-02,1622402
2011-11-09,1669380
2011-11-16,1649775
2011-11-23,1646690
2011-11-30,1630910
2011-12-07,1643078
2011-12-14,1724841
2011-12-21,1726593
2011-12-28,1731928
2012-01-04,1726984
2012-01-11,1716108
2012-01-18,1731151
2012-01-25,1736060
2012-02-01,1740056
2012-02-08,1731487
2012-02-15,1733639
2012-02-22,1721285
2012-02-29,1714479
2012-03-07,1671731
2012-03-14,1665676
2012-03-21,1679522
2012-03-28,1666599
2012-04-04,1651007
2012-04-11,1645506
2012-04-18,1653275
2012-04-25,1641029
2012-05-02,1639584
2012-05-09,1640640
2012-05-16,1624983
2012-05-23,1628548
2012-05-30,1607317
2012-06-06,1621645
2012-06-13,1640171
2012-06-20,1645633
2012-06-27,1639014
2012-07-04,1626895
2012-07-11,1630234
2012-07-18,1630583
2012-07-25,1622144
2012-08-01,1621630
2012-08-08,1623417
2012-08-15,1603025
2012-08-22,1591226
2012-08-29,1573909
2012-09-05,1580357
2012-09-12,1581168
2012-09-19,1578409
2012-09-26,1563461
2012-10-03,1563498
2012-10-10,1561675
2012-10-17,1585549
2012-10-24,1590690
2012-10-31,1558017
2012-11-07,1567205
2012-11-14,1600244
2012-11-21,1597728
2012-11-28,1580893
2012-12-05,1583829
2012-12-12,1625199
2012-12-19,1634685
2012-12-26,1617257
2013-01-02,1622799
2013-01-09,1650607
2013-01-16,1693907
2013-01-23,1741877
2013-01-30,1732563
2013-02-06,1747137
2013-02-13,1795410
2013-02-20,1808112
2013-02-27,1795227
2013-03-06,1816120
2013-03-13,1872039
2013-03-20,1913914
2013-03-27,1909584
2013-04-03,1918418
2013-04-10,1929444
2013-04-17,1993475
2013-04-24,2025001
2013-05-01,2015267
2013-05-08,2027713
2013-05-15,2056372
2013-05-22,2101236
2013-05-29,2083333
2013-06-05,2094786
2013-06-12,2113610
2013-06-19,2170291
2013-06-26,2177554
2013-07-03,2178311
2013-07-10,2199036
2013-07-17,2232609
2013-07-24,2272721
2013-07-31,2262560
2013-08-07,2270342
2013-08-14,2326070
2013-08-21,2329112
2013-08-28,2329363
2013-09-04,2330460
2013-09-11,2342409
2013-09-18,2402693
2013-09-25,2402987
2013-10-02,2419728
2013-10-09,2422687
2013-10-16,2469196
2013-10-23,2478638
2013-10-30,2488916
2013-11-06,2499041
2013-11-13,2554275
2013-11-20,2559256
2013-11-27,2569904
2013-12-04,2574410
2013-12-11,2603505
2013-12-18,2643081
2013-12-25,2620337
2014-01-01,2445620
2014-01-08,2622977
2014-01-15,2668577
2014-01-22,2649398
2014-01-29,2660304
2014-02-05,2662136
2014-02-12,2672927
2014-02-19,2688780
2014-02-26,2657705
2014-03-05,2720220
2014-03-12,2737638
2014-03-19,2763593
2014-03-26,2741942
2014-04-02,2749450
2014-04-09,2770145
2014-04-16,2818762
2014-04-23,2749487
2014-04-30,2678265
2014-05-07,2707287
2014-05-14,2746648
2014-05-21,2705237
2014-05-28,2742018
2014-06-04,2796824
2014-06-11,2827218
2014-06-18,2876908
2014-06-25,2845413
2014-07-02,2811615
2014-07-09,2827188
2014-07-16,2884172
2014-07-23,2865359
2014-07-30,2872881
2014-08-06,2872425
2014-08-13,2889100
2014-08-20,2837007
2014-08-27,2821916
2014-09-03,2850684
2014-09-10,2842072
2014-09-17,2888799
2014-09-24,2888956
2014-10-01,2828684
2014-10-08,2863865
2014-10-15,2935548
2014-10-22,2928938
2014-10-29,2931303
2014-11-05,2935861
2014-11-12,2943847
2014-11-19,2894338
2014-11-26,2897384
2014-12-03,2886762
2014-12-10,2899469
2014-12-17,2925476
2014-12-24,2852447
2014-12-31,2627009
2015-01-07,2901013
2015-01-14,2959720
2015-01-21,2882153
2015-01-28,2870211
2015-02-04,2880478
2015-02-11,2890872
2015-02-18,2830834
2015-02-25,2809398
2015-03-04,2835091
2015-03-11,2847730
2015-03-18,2829078
2015-03-25,2823836
2015-04-01,2748042
2015-04-08,2854488
2015-04-15,2874393
2015-04-22,2832339
2015-04-29,2839718
2015-05-06,2852378
2015-05-13,2868393
2015-05-20,2785107
2015-05-27,2794524
2015-06-03,2832644
2015-06-10,2853531
2015-06-17,2840256
2015-06-24,2819366
2015-07-01,2739227
2015-07-08,2786753
2015-07-15,2846064
2015-07-22,2843533
2015-07-29,2849928
2015-08-05,2841901
2015-08-12,2862818
2015-08-19,2842656
2015-08-26,2844405
2015-09-02,2841330
2015-09-09,2842310
2015-09-16,2846354
2015-09-23,2788583
2015-09-30,2434871
2015-10-07,2791638
2015-10-14,2826235
2015-10-21,2756719
2015-10-28,2729149
2015-11-04,2760143
2015-11-11,2787005
2015-11-18,2747364
2015-11-25,2753887
2015-12-02,2775390
2015-12-09,2762230
2015-12-16,2747491
2015-12-23,2664314
2015-12-30,2560670
2016-01-06,2719144
2016-01-13,2782563
2016-01-20,2750451
2016-01-27,2759258
2016-02-03,2774384
2016-02-10,2783045
2016-02-17,2755816
2016-02-24,2771511
2016-03-02,2753010
2016-03-09,2759021
2016-03-16,2755993
2016-03-23,2742498
2016-03-30,2667221
2016-04-06,2768102
2016-04-13,2792564
2016-04-20,2774960
2016-04-27,2757987
2016-05-04,2747295
2016-05-11,2754541
2016-05-18,2707228
2016-05-25,2694437
2016-06-01,2697830
2016-06-08,2717957
2016-06-15,2743055
2016-06-22,2688193
2016-06-29,2597913
2016-07-06,2663282
2016-07-13,2706654
2016-07-20,2688247
2016-07-27,2691974
2016-08-03,2688729
2016-08-10,2680851
2016-08-17,2676641
2016-08-24,2671957
2016-08-31,2565460
2016-09-07,2664553
2016-09-14,2691034
2016-09-21,2573677
2016-09-28,2466121
2016-10-05,2446757
2016-10-12,2554476
2016-10-19,2558407
2016-10-26,2591870
2016-11-02,2552182
2016-11-09,2600719
2016-11-16,2607655
2016-11-23,2596252
2016-11-30,2487970
2016-12-07,2526559
2016-12-14,2542605
2016-12-21,2405606
2016-12-28,2367939
2017-01-04,2420324
2017-01-11,2532071
2017-01-18,2571628
2017-01-25,2591736
2017-02-01,2561305
2017-02-08,2575085
2017-02-15,2581021
2017-02-22,2529121
2017-03-01,2530281
2017-03-08,2476457
2017-03-15,2460347
2017-03-22,2446950
2017-03-29,2420709
2017-04-05,2508349
2017-04-12,2582696
2017-04-19,2574600
2017-04-26,2563460
2017-05-03,2491234
2017-05-10,2498707
2017-05-17,2509667
2017-05-24,2490799
2017-05-31,2399933
2017-06-07,2504469
2017-06-14,2512445
2017-06-21,2470467
2017-06-28,2398136
2017-07-05,2413566
2017-07-12,2481313
2017-07-19,2521226
2017-07-26,2559568
2017-08-02,2538367
2017-08-09,2558070
2017-08-16,2557748
2017-08-23,2488684
2017-08-30,2491242
2017-09-06,2481916
2017-09-13,2521517
2017-09-20,2463842
2017-09-27,2419487
2017-10-04,2467243
2017-10-11,2511898
2017-10-18,2535629
2017-10-25,2528519
2017-11-01,2546288
2017-11-08,2564064
2017-11-15,2590889
2017-11-22,2566771
2017-11-29,2542512
2017-12-06,2529004
2017-12-13,2474451
2017-12-20,2488520
2017-12-27,2445089
2018-01-03,2441263
2018-01-10,2534791
2018-01-17,2566998
2018-01-24,2559645
2018-01-31,2500165
2018-02-07,2527948
2018-02-14,2549245
2018-02-21,2509914
2018-02-28,2489995
2018-03-07,2531312
2018-03-14,2536265
2018-03-21,2520162
2018-03-28,2501342
2018-04-04,2483022
2018-04-11,2499010
2018-04-18,2498335
2018-04-25,2493721
2018-05-02,2456482
2018-05-09,2463507
2018-05-16,2429810
2018-05-23,2435128
2018-05-30,2422253
2018-06-06,2397845
2018-06-13,2424807
2018-06-20,2412012
2018-06-27,2381975.0
2018-07-04,2354330.0
2018-07-11,2373119.0
2018-07-18,2361467.0
2018-07-25,2362550.0
2018-08-01,2352649.0
2018-08-08,2352204.0
2018-08-15,2308355.0
2018-08-22,2312371.0
2018-08-29,2307757.0
2018-09-05,2293280.0
2018-09-12,2296673.0
2018-09-19,2291234.0
2018-09-26,2279678.0
2018-10-03,2258475.0
2018-10-10,2268804.0
2018-10-17,2266717.0
2018-10-24,2259200.0
2018-10-31,2210082.0
2018-11-07,2214234.0
2018-11-14,2225976.0
2018-11-21,2151600.0
2018-11-28,2167034.0
2018-12-05,2146303.0
2018-12-12,2149794.0
2018-12-19,2124800.0
2018-12-26,2117720.0
2019-01-02,2065917.0
2019-01-09,2087693.0
2019-01-16,2091685.0
2019-01-23,2092151.0
2019-01-30,2089165.0
2019-02-06,2076663.0
2019-02-13,2075494.0
2019-02-20,2017770.0
2019-02-27,2012928.0
2019-03-06,2015277.0
2019-03-13,2012885.0
2019-03-20,2002873.0
2019-03-27,1992466.0
2019-04-03,1961855.0
2019-04-10,1954145.0
2019-04-17,1951123.0
2019-04-24,1931663.0
2019-05-01,1892017.0
2019-05-08,1900276.0
2019-05-15,1871383.0
2019-05-22,1858574.0
2019-05-29,1849205.0
2019-06-05,1839098.0
2019-06-12,1850198.0
2019-06-19,1824204.0
2019-06-26,1815613.0
2019-07-03,1767813.0
2019-07-10,1780058.0
2019-07-17,1781378.0
2019-07-24,1778342.0
2019-07-31,1725316.0
2019-08-07,1751531.0
2019-08-14,1740720.0
2019-08-21,1716286.0
2019-08-28,1721145.0
2019-09-04,1696454.0
2019-09-11,1712985.0
2019-09-18,1760341.0
2019-09-25,1807636.0
2019-10-02,1894938.0
2019-10-09,1892341.0
2019-10-16,1894555.0
2019-10-23,1892318.0
2019-10-30,1951519.0
2019-11-06,1968781.0
2019-11-13,1980457.0
2019-11-20,1946373.0
2019-11-27,1981509.0
2019-12-04,1997389.0
2019-12-11,2043483.0
2019-12-18,2080688.0
2019-12-25,2112580.0
2020-01-01,2031959.0
2020-01-08,2076489.0
2020-01-15,2123057.0
2020-01-22,2090087.0
2020-01-29,2128764.0
2020-02-05,2137263.0
2020-02-12,2165810.0
2020-02-19,2149204.0
2020-02-26,2141988.0
2020-03-04,2197400.0
2020-03-11,2262355.0
2020-03-18,2595127.0
2020-03-25,3021266.0
2020-04-01,3433710.0
2020-04-08,3858360.0
2020-04-15,4173852.0
2020-04-22,4372413.0
2020-04-29,4460138.0
2020-05-06,4518539.0
2020-05-13,4663966.0
2020-05-20,4780812.0
2020-05-27,4839897.0
2020-06-03,4860697.0
2020-06-10,4867282.0
2020-06-17,4795630.0
2020-06-24,4786037.0
2020-07-01,4698086.0
2020-07-08,4604866.0
2020-07-15,4637969.0
2020-07-22,4650895.0
2020-07-29,4626079.0
2020-08-05,4617681.0
2020-08-12,4618027.0
2020-08-19,4676159.0
2020-08-26,4652207.0
2020-09-02,4668116.0
2020-09-09,4661235.0
2020-09-16,4723233.0
2020-09-23,4746445.0
2020-09-30,4704319.0
2020-10-07,4732727.0
2020-10-14,4791441.0
2020-10-21,4831715.0
2020-10-28,4786104.0
2020-11-04,4799036.0
2020-11-11,4803757.0
2020-11-18,4877570.0
2020-11-25,4837954.0
2020-12-02,4852730.0
2020-12-09,4866547.0
2020-12-16,4982652.0
2020-12-23,5013524.0
2020-12-30,4951367.0
2021-01-06,4961246.0
2021-01-13,4974486.0
2021-01-20,5059481.0
2021-01-27,5045187.0
2021-02-03,5049194.0
2021-02-10,5073751.0
2021-02-17,5201005.0
2021-02-24,5233359.0
2021-03-03,5201560.0
2021-03-10,5229161.0
2021-03-17,5322496.0
2021-03-24,5302702.0
2021-03-31,5142984.0
2021-04-07,5234015.0
2021-04-14,5299502.0
2021-04-21,5305775.0
2021-04-28,5184223.0
2021-05-05,5201990.0
2021-05-12,5178501.0
2021-05-19,5180180.0
2021-05-26,5010847.0
2021-06-02,5031882.0
2021-06-09,4998620.0
2021-06-16,5089778.0
2021-06-23,4817038.0
2021-06-30,4593815.0
2021-07-07,4818079.0
2021-07-14,4857339.0
2021-07-21,4877216.0
2021-07-28,4775315.0
2021-08-04,4788865.0
2021-08-11,4758820.0
2021-08-18,4729785.0
2021-08-25,4701260.0
2021-09-01,4739976.0
2021-09-08,4708119.0
2021-09-15,4836747.0
2021-09-22,4690764.0
2021-09-29,4524351.0
2021-10-06,4500486.0
2021-10-13,4593187.0
2021-10-20,4550020.0
2021-10-27,4605215.0
2021-11-03,4684063.0
2021-11-10,4662690.0
2021-11-17,4619162.0
2021-11-24,4683675.0
2021-12-01,4679030.0
2021-12-08,4635139.0
2021-12-15,4586020.0
2021-12-22,4556184.0
2021-12-29,4579506.0
2022-01-05,4713933.0
2022-01-12,4673082.0
2022-01-19,4651800.0
2022-01-26,4720894.0
2022-02-02,4716593.0
2022-02-09,4719970.0
2022-02-16,4757374.0
2022-02-23,4676010.0
2022-03-02,4860175.0
2022-03-09,4844986.0
2022-03-16,4806630.0
2022-03-23,4623732.0
2022-03-30,4608766.0
2022-04-06,4672560.0
2022-04-13,4603149.0
2022-04-20,4502201.0
2022-04-27,4557884.0
