DATE,TREAS1T5
2005-12-07,210730
2005-12-14,210735
2005-12-21,210739
2005-12-28,210743
2006-01-04,209454
2006-01-11,210059
2006-01-18,208293
2006-01-25,208279
2006-02-01,209981
2006-02-08,209974
2006-02-15,212648
2006-02-22,213888
2006-03-01,213483
2006-03-08,213951
2006-03-15,215452
2006-03-22,215466
2006-03-29,215479
2006-04-05,215819
2006-04-12,215823
2006-04-19,215827
2006-04-26,216926
2006-05-03,216216
2006-05-10,216226
2006-05-17,212424
2006-05-24,213652
2006-05-31,213268
2006-06-07,214618
2006-06-14,215950
2006-06-21,215966
2006-06-28,215982
2006-07-05,217323
2006-07-12,217332
2006-07-19,217908
2006-07-26,217918
2006-08-02,218566
2006-08-09,218570
2006-08-16,211115
2006-08-23,211118
2006-08-30,212576
2006-09-06,213289
2006-09-13,214615
2006-09-20,214621
2006-09-27,214627
2006-10-04,215770
2006-10-11,215774
2006-10-18,217172
2006-10-25,217176
2006-11-01,218327
2006-11-08,218530
2006-11-15,217679
2006-11-22,219213
2006-11-29,219202
2006-12-06,220125
2006-12-13,221541
2006-12-20,222856
2006-12-27,224185
2007-01-03,224972
2007-01-10,224968
2007-01-17,222745
2007-01-24,222742
2007-01-31,222478
2007-02-07,222482
2007-02-14,226945
2007-02-21,219506
2007-02-28,229242
2007-03-07,224564
2007-03-14,224570
2007-03-21,224576
2007-03-28,224582
2007-04-04,226033
2007-04-11,226985
2007-04-18,226996
2007-04-25,229833
2007-05-02,234977
2007-05-09,237737
2007-05-16,229466
2007-05-23,229490
2007-05-30,229514
2007-06-06,233320
2007-06-13,233338
2007-06-20,233355
2007-06-27,233373
2007-07-04,234953
2007-07-11,234969
2007-07-18,237738
2007-07-25,237758
2007-08-01,238073
2007-08-08,238079
2007-08-15,241382
2007-08-22,234421
2007-08-29,234428
2007-09-05,237297
2007-09-12,237296
2007-09-19,235828
2007-09-26,235828
2007-10-03,237311
2007-10-10,237305
2007-10-17,236325
2007-10-24,236319
2007-10-31,243868
2007-11-07,241043
2007-11-14,241053
2007-11-21,231526
2007-11-28,231534
2007-12-05,234701
2007-12-12,234709
2007-12-19,233394
2007-12-26,233402
2008-01-02,235751
2008-01-09,235773
2008-01-16,231397
2008-01-23,231414
2008-01-30,231432
2008-02-06,233089
2008-02-13,233087
2008-02-20,231343
2008-02-27,231341
2008-03-05,231000
2008-03-12,231014
2008-03-19,224908
2008-03-26,214965
2008-04-02,206888
2008-04-09,196898
2008-04-16,195968
2008-04-23,195977
2008-04-30,197438
2008-05-07,192466
2008-05-14,187743
2008-05-21,176232
2008-05-28,171260
2008-06-04,171731
2008-06-11,171751
2008-06-18,171083
2008-06-25,171103
2008-07-02,173465
2008-07-09,173492
2008-07-16,172629
2008-07-23,172656
2008-07-30,172683
2008-08-06,175563
2008-08-13,175596
2008-08-20,169506
2008-08-27,169539
2008-09-03,170789
2008-09-10,170807
2008-09-17,170676
2008-09-24,170694
2008-10-01,174098
2008-10-08,174085
2008-10-15,173462
2008-10-22,173449
2008-10-29,173435
2008-11-05,173414
2008-11-12,173409
2008-11-19,170928
2008-11-26,170923
2008-12-03,171701
2008-12-10,171667
2008-12-17,172076
2008-12-24,172038
2008-12-31,173328
2009-01-07,173264
2009-01-14,173973
2009-01-21,173147
2009-01-28,173087
2009-02-04,174089
2009-02-11,174054
2009-02-18,168008
2009-02-25,167973
2009-03-04,168922
2009-03-11,168936
2009-03-18,168678
2009-03-25,168691
2009-04-01,175762
2009-04-08,188973
2009-04-15,202091
2009-04-22,202796
2009-04-29,216801
2009-05-06,216934
2009-05-13,229896
2009-05-20,235265
2009-05-27,241533
2009-06-03,247670
2009-06-10,255193
2009-06-17,261617
2009-06-24,262703
2009-07-01,261730
2009-07-08,266166
2009-07-15,277242
2009-07-22,277376
2009-07-29,277385
2009-08-05,282516
2009-08-12,295420
2009-08-19,306425
2009-08-26,312547
2009-09-02,317933
2009-09-09,317928
2009-09-16,317171
2009-09-23,322425
2009-09-30,324284
2009-10-07,324291
2009-10-14,324298
2009-10-21,324030
2009-10-28,324037
2009-11-04,326043
2009-11-11,326045
2009-11-18,331334
2009-11-25,331336
2009-12-02,330020
2009-12-09,330023
2009-12-16,329281
2009-12-23,329284
2009-12-30,329287
2010-01-06,326876
2010-01-13,326878
2010-01-20,327155
2010-01-27,327157
2010-02-03,326326
2010-02-10,326320
2010-02-17,337298
2010-02-24,337293
2010-03-03,333475
2010-03-10,333484
2010-03-17,333967
2010-03-24,333977
2010-03-31,331962
2010-04-07,331963
2010-04-14,331964
2010-04-21,331703
2010-04-28,331703
2010-05-05,327533
2010-05-12,327542
2010-05-19,340378
2010-05-26,340387
2010-06-02,332917
2010-06-09,332921
2010-06-16,333133
2010-06-23,333137
2010-06-30,332051
2010-07-07,332053
2010-07-14,332287
2010-07-21,332299
2010-07-28,332301
2010-08-04,331815
2010-08-11,331813
2010-08-18,341460
2010-08-25,342808
2010-09-01,341198
2010-09-08,343586
2010-09-15,345293
2010-09-22,350208
2010-09-29,354844
2010-10-06,353659
2010-10-13,355731
2010-10-20,359911
2010-10-27,362505
2010-11-03,364061
2010-11-10,367997
2010-11-17,379245
2010-11-24,387219
2010-12-01,397978
2010-12-08,409792
2010-12-15,408543
2010-12-22,427120
2010-12-29,433903
2011-01-05,439596
2011-01-12,452608
2011-01-19,456353
2011-01-26,471112
2011-02-02,483207
2011-02-09,490485
2011-02-16,500427
2011-02-23,507120
2011-03-02,525223
2011-03-09,538702
2011-03-16,534520
2011-03-23,547165
2011-03-30,565623
2011-04-06,579118
2011-04-13,585483
2011-04-20,591158
2011-04-27,591168
2011-05-04,617107
2011-05-11,630702
2011-05-18,648661
2011-05-25,655085
2011-06-01,676155
2011-06-08,682939
2011-06-15,692563
2011-06-22,694720
2011-06-29,703587
2011-07-06,708800
2011-07-13,713934
2011-07-20,710280
2011-07-27,710293
2011-08-03,715116
2011-08-10,715638
2011-08-17,709657
2011-08-24,709654
2011-08-31,718559
2011-09-07,715186
2011-09-14,715189
2011-09-21,714323
2011-09-28,714534
2011-10-05,717655
2011-10-12,717664
2011-10-19,706195
2011-10-26,697690
2011-11-02,679266
2011-11-09,679270
2011-11-16,692252
2011-11-23,674996
2011-11-30,687122
2011-12-07,672456
2011-12-14,672064
2011-12-21,667121
2011-12-28,650378
2012-01-04,651964
2012-01-11,642585
2012-01-18,638088
2012-01-25,629346
2012-02-01,625531
2012-02-08,624741
2012-02-15,627102
2012-02-22,603274
2012-02-29,600747
2012-03-07,599626
2012-03-14,591007
2012-03-21,581934
2012-03-28,574954
2012-04-04,575290
2012-04-11,575194
2012-04-18,566702
2012-04-25,549453
2012-05-02,551507
2012-05-09,549945
2012-05-16,547665
2012-05-23,543351
2012-05-30,545904
2012-06-06,544049
2012-06-13,534374
2012-06-20,532988
2012-06-27,524628
2012-07-04,527072
2012-07-11,527069
2012-07-18,512408
2012-07-25,504475
2012-08-01,502093
2012-08-08,502090
2012-08-15,513596
2012-08-22,497998
2012-08-29,490195
2012-09-05,492051
2012-09-12,487969
2012-09-19,472367
2012-09-26,464564
2012-10-03,461377
2012-10-10,454182
2012-10-17,446394
2012-10-24,429960
2012-10-31,424184
2012-11-07,416524
2012-11-14,418820
2012-11-21,403914
2012-11-28,396251
2012-12-05,395447
2012-12-12,387879
2012-12-19,372692
2012-12-26,365270
2013-01-02,378474
2013-01-09,383562
2013-01-16,386821
2013-01-23,386809
2013-01-30,400314
2013-02-06,400305
2013-02-13,400297
2013-02-20,416244
2013-02-27,433570
2013-03-06,438296
2013-03-13,438304
2013-03-20,442424
2013-03-27,442432
2013-04-03,462022
2013-04-10,462043
2013-04-17,467645
2013-04-24,467666
2013-05-01,491298
2013-05-08,491305
2013-05-15,516337
2013-05-22,520567
2013-05-29,520574
2013-06-05,544480
2013-06-12,544477
2013-06-19,547248
2013-06-26,547245
2013-07-03,567212
2013-07-10,569878
2013-07-17,570934
2013-07-24,570939
2013-07-31,595418
2013-08-07,599758
2013-08-14,622371
2013-08-21,622376
2013-08-28,627563
2013-09-04,646497
2013-09-11,646632
2013-09-18,646633
2013-09-25,646634
2013-10-02,659494
2013-10-09,659498
2013-10-16,662721
2013-10-23,662725
2013-10-30,685278
2013-11-06,685280
2013-11-13,688281
2013-11-20,721540
2013-11-27,726355
2013-12-04,742894
2013-12-11,748015
2013-12-18,748008
2013-12-25,750641
2014-01-01,763329
2014-01-08,763322
2014-01-15,765246
2014-01-22,767716
2014-01-29,767709
2014-02-05,778072
2014-02-12,778071
2014-02-19,819714
2014-02-26,819714
2014-03-05,828156
2014-03-12,828168
2014-03-19,831917
2014-03-26,831930
2014-04-02,849904
2014-04-09,849917
2014-04-16,853151
2014-04-23,856629
2014-04-30,876120
2014-05-07,876141
2014-05-14,910075
2014-05-21,908649
2014-05-28,908671
2014-06-04,926143
2014-06-11,929168
2014-06-18,931877
2014-06-25,931888
2014-07-02,949850
2014-07-09,949862
2014-07-16,950471
2014-07-23,952605
2014-07-30,968273
2014-08-06,968305
2014-08-13,969924
2014-08-20,1022076
2014-08-27,1022082
2014-09-03,1035547
2014-09-10,1037162
2014-09-17,1037160
2014-09-24,1038753
2014-10-01,1047868
2014-10-08,1047862
2014-10-15,1047856
2014-10-22,1050012
2014-10-29,1050006
2014-11-05,1064662
2014-11-12,1064665
2014-11-19,1098897
2014-11-26,1098900
2014-12-03,1105881
2014-12-10,1105872
2014-12-17,1105863
2014-12-24,1105853
2014-12-31,1112927
2015-01-07,1112908
2015-01-14,1113962
2015-01-21,1113942
2015-01-28,1113921
2015-02-04,1118003
2015-02-11,1117979
2015-02-18,1147466
2015-02-25,1147442
2015-03-04,1125222
2015-03-11,1125205
2015-03-18,1125187
2015-03-25,1125170
2015-04-01,1112868
2015-04-08,1112884
2015-04-15,1112901
2015-04-22,1112528
2015-04-29,1112544
2015-05-06,1090704
2015-05-13,1090726
2015-05-20,1119196
2015-05-27,1119218
2015-06-03,1098741
2015-06-10,1098748
2015-06-17,1098756
2015-06-24,1098764
2015-07-01,1098074
2015-07-08,1098093
2015-07-15,1102998
2015-07-22,1099409
2015-07-29,1099429
2015-08-05,1098278
2015-08-12,1098292
2015-08-19,1137997
2015-08-26,1138011
2015-09-02,1133905
2015-09-09,1133906
2015-09-16,1133906
2015-09-23,1133906
2015-09-30,1142559
2015-10-07,1135726
2015-10-14,1135721
2015-10-21,1135715
2015-10-28,1135709
2015-11-04,1130239
2015-11-11,1130233
2015-11-18,1129310
2015-11-25,1129302
2015-12-02,1124299
2015-12-09,1124297
2015-12-16,1124295
2015-12-23,1124293
2015-12-30,1124291
2016-01-06,1118342
2016-01-13,1118334
2016-01-20,1120360
2016-01-27,1120351
2016-02-03,1118233
2016-02-10,1118217
2016-02-17,1141973
2016-02-24,1141956
2016-03-02,1152276
2016-03-09,1152283
2016-03-16,1152291
2016-03-23,1152298
2016-03-30,1155990
2016-04-06,1156730
2016-04-13,1156734
2016-04-20,1156458
2016-04-27,1156462
2016-05-04,1164675
2016-05-11,1164693
2016-05-18,1193128
2016-05-25,1192946
2016-06-01,1197951
2016-06-08,1197972
2016-06-15,1197994
2016-06-22,1198015
2016-06-29,1199997
2016-07-06,1195883
2016-07-13,1195901
2016-07-20,1197133
2016-07-27,1197151
2016-08-03,1190620
2016-08-10,1190634
2016-08-17,1207329
2016-08-24,1207343
2016-08-31,1209239
2016-09-07,1209231
2016-09-14,1209223
2016-09-21,1209216
2016-09-28,1209208
2016-10-05,1202712
2016-10-12,1202716
2016-10-19,1202720
2016-10-26,1202724
2016-11-02,1198562
2016-11-09,1198574
2016-11-16,1243286
2016-11-23,1243299
2016-11-30,1241826
2016-12-07,1241832
2016-12-14,1241837
2016-12-21,1241843
2016-12-28,1241849
2017-01-04,1232322
2017-01-11,1232315
2017-01-18,1233270
2017-01-25,1233263
2017-02-01,1210166
2017-02-08,1210167
2017-02-15,1240508
2017-02-22,1240509
2017-03-01,1216789
2017-03-08,1216815
2017-03-15,1216841
2017-03-22,1216867
2017-03-29,1216893
2017-04-05,1194547
2017-04-12,1194562
2017-04-19,1194549
2017-04-26,1194564
2017-05-03,1170570
2017-05-10,1170574
2017-05-17,1195573
2017-05-24,1195577
2017-05-31,1174320
2017-06-07,1174333
2017-06-14,1174347
2017-06-21,1174361
2017-06-28,1174374
2017-07-05,1152801
2017-07-12,1152805
2017-07-19,1152629
2017-07-26,1152633
2017-08-02,1129960
2017-08-09,1129964
2017-08-16,1163475
2017-08-23,1163479
2017-08-30,1163518
2017-09-06,1144907
2017-09-13,1144904
2017-09-20,1144900
2017-09-27,1144897
2017-10-04,1133395
2017-10-11,1133408
2017-10-18,1133422
2017-10-25,1133435
2017-11-01,1111513
2017-11-08,1111537
2017-11-15,1117050
2017-11-22,1117078
2017-11-29,1117114
2017-12-06,1095454
2017-12-13,1095451
2017-12-20,1095449
2017-12-27,1095446
2018-01-03,1085113
2018-01-10,1085113
2018-01-17,1083901
2018-01-24,1083901
2018-01-31,1081309
2018-02-07,1081307
2018-02-14,1107777
2018-02-21,1069165
2018-02-28,1081426
2018-03-07,1081448
2018-03-14,1081470
2018-03-21,1081492
2018-03-28,1081513
2018-04-04,1080010
2018-04-11,1080029
2018-04-18,1079919
2018-04-25,1079938
2018-05-02,1068418
2018-05-09,1068428
2018-05-16,1052008
2018-05-23,1052018
2018-05-30,1059169
2018-06-06,1051115
2018-06-13,1051134
2018-06-20,1051152
2018-06-27,1051171.0
2018-07-04,1042539.0
2018-07-11,1042558.0
2018-07-18,1040534.0
2018-07-25,1040552.0
2018-08-01,1028048.0
2018-08-08,1028055.0
2018-08-15,1016026.0
2018-08-22,1016033.0
2018-08-29,1016040.0
2018-09-05,1010628.0
2018-09-12,1010629.0
2018-09-19,1010629.0
2018-09-26,1010629.0
2018-10-03,999352.0
2018-10-10,999355.0
2018-10-17,999357.0
2018-10-24,999360.0
2018-10-31,985372.0
2018-11-07,985378.0
2018-11-14,993899.0
2018-11-21,961676.0
2018-11-28,961680.0
2018-12-05,964792.0
2018-12-12,964800.0
2018-12-19,964808.0
2018-12-26,964817.0
2019-01-02,958061.0
2019-01-09,958045.0
2019-01-16,955556.0
2019-01-23,955541.0
2019-01-30,957302.0
2019-02-06,942603.0
2019-02-13,942588.0
2019-02-20,930757.0
2019-02-27,930742.0
2019-03-06,922063.0
2019-03-13,922071.0
2019-03-20,922080.0
2019-03-27,922088.0
2019-04-03,908908.0
2019-04-10,908927.0
2019-04-17,908683.0
2019-04-24,908702.0
2019-05-01,902502.0
2019-05-08,902527.0
2019-05-15,917215.0
2019-05-22,867384.0
2019-05-29,867409.0
2019-06-05,870714.0
2019-06-12,870738.0
2019-06-19,870762.0
2019-06-26,870787.0
2019-07-03,861740.0
2019-07-10,861748.0
2019-07-17,856268.0
2019-07-24,856275.0
2019-07-31,863166.0
2019-08-07,853063.0
2019-08-14,853064.0
2019-08-21,826882.0
2019-08-28,830985.0
2019-09-04,836987.0
2019-09-11,837872.0
2019-09-18,837878.0
2019-09-25,839685.0
2019-10-02,848695.0
2019-10-09,849095.0
2019-10-16,849095.0
2019-10-23,852320.0
2019-10-30,856122.0
2019-11-06,866728.0
2019-11-13,867266.0
2019-11-20,876899.0
2019-11-27,882505.0
2019-12-04,881241.0
2019-12-11,881601.0
2019-12-18,882652.0
2019-12-25,888264.0
2020-01-01,900972.0
2020-01-08,894850.0
2020-01-15,907750.0
2020-01-22,902619.0
2020-01-29,908219.0
2020-02-05,917955.0
2020-02-12,918350.0
2020-02-19,906588.0
2020-02-26,913398.0
2020-03-04,914339.0
2020-03-11,915101.0
2020-03-18,966762.0
2020-03-25,1111145.0
2020-04-01,1298345.0
2020-04-08,1432206.0
2020-04-15,1493336.0
2020-04-22,1536392.0
2020-04-29,1572472.0
2020-05-06,1568584.0
2020-05-13,1584494.0
2020-05-20,1568066.0
2020-05-27,1577552.0
2020-06-03,1575173.0
2020-06-10,1581035.0
2020-06-17,1581775.0
2020-06-24,1592447.0
2020-07-01,1597928.0
2020-07-08,1607239.0
2020-07-15,1604839.0
2020-07-22,1607135.0
2020-07-29,1627218.0
2020-08-05,1639244.0
2020-08-12,1642529.0
2020-08-19,1647558.0
2020-08-26,1648650.0
2020-09-02,1662079.0
2020-09-09,1662166.0
2020-09-16,1658504.0
2020-09-23,1665299.0
2020-09-30,1673536.0
2020-10-07,1686755.0
2020-10-14,1697513.0
2020-10-21,1701341.0
2020-10-28,1710201.0
2020-11-04,1714301.0
2020-11-11,1725831.0
2020-11-18,1700839.0
2020-11-25,1711895.0
2020-12-02,1726236.0
2020-12-09,1737549.0
2020-12-16,1742438.0
2020-12-23,1755671.0
2020-12-30,1767023.0
2021-01-06,1768527.0
2021-01-13,1781651.0
2021-01-20,1803617.0
2021-01-27,1815819.0
2021-02-03,1812046.0
2021-02-10,1826092.0
2021-02-17,1821988.0
2021-02-24,1833210.0
2021-03-03,1851855.0
2021-03-10,1862620.0
2021-03-17,1864799.0
2021-03-24,1866998.0
2021-03-31,1881534.0
2021-04-07,1888684.0
2021-04-14,1892626.0
2021-04-21,1899030.0
2021-04-28,1902633.0
2021-05-05,1942674.0
2021-05-12,1948027.0
2021-05-19,1933283.0
2021-05-26,1937380.0
2021-06-02,1976806.0
2021-06-09,1978648.0
2021-06-16,1982040.0
2021-06-23,1983709.0
2021-06-30,1995709.0
2021-07-07,2002523.0
2021-07-14,2025519.0
2021-07-21,2020368.0
2021-07-28,2034725.0
2021-08-04,2038269.0
2021-08-11,2052328.0
2021-08-18,2021245.0
2021-08-25,2033296.0
2021-09-01,2049268.0
2021-09-08,2049420.0
2021-09-15,2057960.0
2021-09-22,2065332.0
2021-09-29,2093284.0
2021-10-06,2085301.0
2021-10-13,2096802.0
2021-10-20,2108800.0
2021-10-27,2113812.0
2021-11-03,2121068.0
2021-11-10,2131956.0
2021-11-17,2127892.0
2021-11-24,2129829.0
2021-12-01,2129818.0
2021-12-08,2134549.0
2021-12-15,2151240.0
2021-12-22,2153742.0
2021-12-29,2154028.0
2022-01-05,2154584.0
2022-01-12,2165265.0
2022-01-19,2182881.0
2022-01-26,2197647.0
2022-02-02,2203397.0
2022-02-09,2203535.0
2022-02-16,2191349.0
2022-02-23,2192414.0
2022-03-02,2177670.0
2022-03-09,2178014.0
2022-03-16,2183315.0
2022-03-23,2183659.0
2022-03-30,2197763.0
2022-04-06,2168112.0
2022-04-13,2168501.0
2022-04-20,2158441.0
2022-04-27,2158802.0
