DATE,WSHONBIIL
2005-06-08,19108
2005-06-15,19108
2005-06-22,19533
2005-06-29,19533
2005-07-06,19533
2005-07-13,19533
2005-07-20,19533
2005-07-27,19533
2005-08-03,19533
2005-08-10,19533
2005-08-17,19533
2005-08-24,19533
2005-08-31,19533
2005-09-07,19533
2005-09-14,19983
2005-09-21,19983
2005-09-28,19983
2005-10-05,19983
2005-10-12,19983
2005-10-19,19983
2005-10-26,19983
2005-11-02,19983
2005-11-09,19983
2005-11-16,19983
2005-11-23,19983
2005-11-30,19983
2005-12-07,19983
2005-12-14,19983
2005-12-21,19983
2005-12-28,19983
2006-01-04,19983
2006-01-11,20431
2006-01-18,20431
2006-01-25,20431
2006-02-01,22196
2006-02-08,22196
2006-02-15,22196
2006-02-22,22196
2006-03-01,22196
2006-03-08,22196
2006-03-15,22646
2006-03-22,22646
2006-03-29,22646
2006-04-05,22646
2006-04-12,22646
2006-04-19,22646
2006-04-26,22646
2006-05-03,22646
2006-05-10,22646
2006-05-17,22646
2006-05-24,22646
2006-05-31,22646
2006-06-07,22646
2006-06-14,22646
2006-06-21,22646
2006-06-28,22646
2006-07-05,22646
2006-07-12,22646
2006-07-19,24783
2006-07-26,24783
2006-08-02,26019
2006-08-09,26019
2006-08-16,26019
2006-08-23,26019
2006-08-30,26019
2006-09-06,26019
2006-09-13,26019
2006-09-20,26019
2006-09-27,26019
2006-10-04,26019
2006-10-11,26019
2006-10-18,27430
2006-10-25,27430
2006-11-01,29611
2006-11-08,30105
2006-11-15,30105
2006-11-22,30105
2006-11-29,30105
2006-12-06,30105
2006-12-13,30105
2006-12-20,30105
2006-12-27,30105
2007-01-03,30105
2007-01-10,30105
2007-01-17,30587
2007-01-24,30587
2007-01-31,31776
2007-02-07,31776
2007-02-14,31776
2007-02-21,31776
2007-02-28,31776
2007-03-07,31776
2007-03-14,31776
2007-03-21,31776
2007-03-28,31776
2007-04-04,31776
2007-04-11,31776
2007-04-18,31776
2007-04-25,32336
2007-05-02,34459
2007-05-09,34459
2007-05-16,34459
2007-05-23,34459
2007-05-30,34459
2007-06-06,34459
2007-06-13,34459
2007-06-20,34459
2007-06-27,34459
2007-07-04,34459
2007-07-11,34459
2007-07-18,34459
2007-07-25,34459
2007-08-01,35753
2007-08-08,35753
2007-08-15,35753
2007-08-22,35753
2007-08-29,35753
2007-09-05,35753
2007-09-12,35753
2007-09-19,35753
2007-09-26,35753
2007-10-03,35753
2007-10-10,35753
2007-10-17,35753
2007-10-24,35753
2007-10-31,36911
2007-11-07,36911
2007-11-14,36911
2007-11-21,36911
2007-11-28,36911
2007-12-05,36911
2007-12-12,36911
2007-12-19,36911
2007-12-26,36911
2008-01-02,36911
2008-01-09,36911
2008-01-16,37463
2008-01-23,37463
2008-01-30,37463
2008-02-06,38437
2008-02-13,38437
2008-02-20,38437
2008-02-27,38437
2008-03-05,38437
2008-03-12,38437
2008-03-19,38437
2008-03-26,38437
2008-04-02,38437
2008-04-09,38437
2008-04-16,38437
2008-04-23,38437
2008-04-30,39171
2008-05-07,39171
2008-05-14,39171
2008-05-21,39171
2008-05-28,39171
2008-06-04,39171
2008-06-11,39171
2008-06-18,39171
2008-06-25,39171
2008-07-02,39171
2008-07-09,39171
2008-07-16,39171
2008-07-23,39171
2008-07-30,39171
2008-08-06,39832
2008-08-13,39832
2008-08-20,39832
2008-08-27,39832
2008-09-03,39832
2008-09-10,39832
2008-09-17,39832
2008-09-24,39832
2008-10-01,39832
2008-10-08,39832
2008-10-15,40806
2008-10-22,40806
2008-10-29,40806
2008-11-05,41071
2008-11-12,41071
2008-11-19,41071
2008-11-26,41071
2008-12-03,41071
2008-12-10,41071
2008-12-17,41071
2008-12-24,41071
2008-12-31,41071
2009-01-07,41071
2009-01-14,41071
2009-01-21,39378
2009-01-28,39378
2009-02-04,39378
2009-02-11,39378
2009-02-18,39378
2009-02-25,39378
2009-03-04,39378
2009-03-11,39378
2009-03-18,39378
2009-03-25,39378
2009-04-01,39378
2009-04-08,39378
2009-04-15,39473
2009-04-22,40976
2009-04-29,40976
2009-05-06,41253
2009-05-13,41253
2009-05-20,41253
2009-05-27,42803
2009-06-03,42803
2009-06-10,42803
2009-06-17,42803
2009-06-24,42803
2009-07-01,42803
2009-07-08,42803
2009-07-15,42939
2009-07-22,44438
2009-07-29,44438
2009-08-05,44588
2009-08-12,44588
2009-08-19,44588
2009-08-26,44588
2009-09-02,44588
2009-09-09,44588
2009-09-16,44588
2009-09-23,44588
2009-09-30,44588
2009-10-07,44588
2009-10-14,44588
2009-10-21,44643
2009-10-28,44643
2009-11-04,44643
2009-11-11,44643
2009-11-18,44643
2009-11-25,44643
2009-12-02,44643
2009-12-09,44643
2009-12-16,44643
2009-12-23,44643
2009-12-30,44643
2010-01-06,44643
2010-01-13,44643
2010-01-20,43777
2010-01-27,43777
2010-02-03,43777
2010-02-10,43777
2010-02-17,43777
2010-02-24,43777
2010-03-03,43777
2010-03-10,43777
2010-03-17,43777
2010-03-24,43777
2010-03-31,43777
2010-04-07,43777
2010-04-14,43777
2010-04-21,40891
2010-04-28,40891
2010-05-05,41125
2010-05-12,41125
2010-05-19,41125
2010-05-26,41125
2010-06-02,41125
2010-06-09,41125
2010-06-16,41125
2010-06-23,41125
2010-06-30,41125
2010-07-07,41125
2010-07-14,41125
2010-07-21,41129
2010-07-28,41129
2010-08-04,41129
2010-08-11,41129
2010-08-18,41129
2010-08-25,41129
2010-09-01,41660
2010-09-08,41660
2010-09-15,41768
2010-09-22,41768
2010-09-29,42318
2010-10-06,42318
2010-10-13,42318
2010-10-20,42318
2010-10-27,42978
2010-11-03,42978
2010-11-10,42978
2010-11-17,43247
2010-11-24,44876
2010-12-01,44876
2010-12-08,44876
2010-12-15,46506
2010-12-22,48125
2010-12-29,48125
2011-01-05,49743
2011-01-12,49743
2011-01-19,50372
2011-01-26,50372
2011-02-02,52366
2011-02-09,52366
2011-02-16,53863
2011-02-23,53863
2011-03-02,54357
2011-03-09,55857
2011-03-16,55857
2011-03-23,57425
2011-03-30,58993
2011-04-06,59486
2011-04-13,59486
2011-04-20,56565
2011-04-27,58065
2011-05-04,58065
2011-05-11,59564
2011-05-18,61004
2011-05-25,61004
2011-06-01,61930
2011-06-08,63370
2011-06-15,63370
2011-06-22,65296
2011-06-29,65296
2011-07-06,65521
2011-07-13,65521
2011-07-20,65521
2011-07-27,65521
2011-08-03,65521
2011-08-10,65948
2011-08-17,65948
2011-08-24,65948
2011-08-31,66754
2011-09-07,66754
2011-09-14,66754
2011-09-21,66754
2011-09-28,67254
2011-10-05,67597
2011-10-12,68966
2011-10-19,67596
2011-10-26,67596
2011-11-02,67862
2011-11-09,69252
2011-11-16,67922
2011-11-23,67922
2011-11-30,68420
2011-12-07,68420
2011-12-14,68468
2011-12-21,68468
2011-12-28,68468
2012-01-04,68468
2012-01-11,68508
2012-01-18,68418
2012-01-25,68418
2012-02-01,68700
2012-02-08,67370
2012-02-15,68760
2012-02-22,68760
2012-02-29,68888
2012-03-07,67558
2012-03-14,67558
2012-03-21,68667
2012-03-28,68667
2012-04-04,70014
2012-04-11,68754
2012-04-18,67236
2012-04-25,67236
2012-05-02,67666
2012-05-09,66326
2012-05-16,67654
2012-05-23,67654
2012-05-30,67654
2012-06-06,67654
2012-06-13,66570
2012-06-20,67915
2012-06-27,67915
2012-07-04,67915
2012-07-11,69237
2012-07-18,69086
2012-07-25,69086
2012-08-01,69086
2012-08-08,69086
2012-08-15,70435
2012-08-22,70435
2012-08-29,70435
2012-09-05,70435
2012-09-12,71784
2012-09-19,71784
2012-09-26,71784
2012-10-03,71784
2012-10-10,71784
2012-10-17,73034
2012-10-24,71944
2012-10-31,71944
2012-11-07,71944
2012-11-14,73344
2012-11-21,73344
2012-11-28,73344
2012-12-05,73344
2012-12-12,74740
2012-12-19,74740
2012-12-26,74740
2013-01-02,74740
2013-01-09,74740
2013-01-16,74740
2013-01-23,76130
2013-01-30,76130
2013-02-06,76130
2013-02-13,77499
2013-02-20,77499
2013-02-27,77499
2013-03-06,77499
2013-03-13,78879
2013-03-20,78879
2013-03-27,78879
2013-04-03,78879
2013-04-10,80278
2013-04-17,80277
2013-04-24,80277
2013-05-01,80277
2013-05-08,80277
2013-05-15,81646
2013-05-22,81646
2013-05-29,81646
2013-06-05,81646
2013-06-12,83026
2013-06-19,83026
2013-06-26,83026
2013-07-03,83026
2013-07-10,83026
2013-07-17,84406
2013-07-24,84406
2013-07-31,84406
2013-08-07,84406
2013-08-14,85819
2013-08-21,85819
2013-08-28,85819
2013-09-04,85819
2013-09-11,87209
2013-09-18,87209
2013-09-25,87209
2013-10-02,87209
2013-10-09,87209
2013-10-16,88589
2013-10-23,88589
2013-10-30,88589
2013-11-06,88589
2013-11-13,88589
2013-11-20,89979
2013-11-27,89979
2013-12-04,89979
2013-12-11,91379
2013-12-18,91379
2013-12-25,91379
2014-01-01,91379
2014-01-08,91379
2014-01-15,92615
2014-01-22,92615
2014-01-29,92615
2014-02-05,92615
2014-02-12,93583
2014-02-19,93583
2014-02-26,93583
2014-03-05,93608
2014-03-12,93608
2014-03-19,94565
2014-03-26,94565
2014-04-02,94565
2014-04-09,95389
2014-04-16,95389
2014-04-23,95389
2014-04-30,95389
2014-05-07,95389
2014-05-14,96068
2014-05-21,96068
2014-05-28,96068
2014-06-04,96068
2014-06-11,96068
2014-06-18,96771
2014-06-25,96771
2014-07-02,96771
2014-07-09,96771
2014-07-16,97327
2014-07-23,97327
2014-07-30,97327
2014-08-06,97332
2014-08-13,97332
2014-08-20,97755
2014-08-27,97755
2014-09-03,97755
2014-09-10,97755
2014-09-17,98188
2014-09-24,98188
2014-10-01,98188
2014-10-08,98469
2014-10-15,98469
2014-10-22,98469
2014-10-29,98469
2014-11-05,98469
2014-11-12,98469
2014-11-19,98469
2014-11-26,98469
2014-12-03,98469
2014-12-10,98469
2014-12-17,98469
2014-12-24,98469
2014-12-31,98469
2015-01-07,98469
2015-01-14,98469
2015-01-21,98469
2015-01-28,98469
2015-02-04,98469
2015-02-11,98469
2015-02-18,98469
2015-02-25,98469
2015-03-04,98469
2015-03-11,98469
2015-03-18,98469
2015-03-25,98469
2015-04-01,98469
2015-04-08,98469
2015-04-15,98468
2015-04-22,98468
2015-04-29,98468
2015-05-06,98534
2015-05-13,98534
2015-05-20,98534
2015-05-27,98534
2015-06-03,98534
2015-06-10,98534
2015-06-17,98534
2015-06-24,98534
2015-07-01,98534
2015-07-08,98534
2015-07-15,98534
2015-07-22,98534
2015-07-29,98534
2015-08-05,98534
2015-08-12,98534
2015-08-19,98534
2015-08-26,98534
2015-09-02,98534
2015-09-09,98534
2015-09-16,98534
2015-09-23,98534
2015-09-30,98534
2015-10-07,98534
2015-10-14,98534
2015-10-21,98534
2015-10-28,98534
2015-11-04,98534
2015-11-11,98534
2015-11-18,98534
2015-11-25,98534
2015-12-02,98534
2015-12-09,98534
2015-12-16,98534
2015-12-23,98534
2015-12-30,98534
2016-01-06,98534
2016-01-13,98534
2016-01-20,98534
2016-01-27,98534
2016-02-03,98534
2016-02-10,98534
2016-02-17,98534
2016-02-24,98534
2016-03-02,100880
2016-03-09,100880
2016-03-16,100880
2016-03-23,100880
2016-03-30,100880
2016-04-06,103501
2016-04-13,103501
2016-04-20,103134
2016-04-27,103134
2016-05-04,103134
2016-05-11,103134
2016-05-18,103134
2016-05-25,103134
2016-06-01,105939
2016-06-08,105939
2016-06-15,105939
2016-06-22,105939
2016-06-29,105939
2016-07-06,106669
2016-07-13,106669
2016-07-20,103596
2016-07-27,103596
2016-08-03,103596
2016-08-10,103596
2016-08-17,103596
2016-08-24,103596
2016-08-31,104553
2016-09-07,104553
2016-09-14,104553
2016-09-21,104553
2016-09-28,104553
2016-10-05,105224
2016-10-12,105224
2016-10-19,105224
2016-10-26,105224
2016-11-02,105526
2016-11-09,105526
2016-11-16,105526
2016-11-23,105526
2016-11-30,106697
2016-12-07,106697
2016-12-14,106697
2016-12-21,106697
2016-12-28,106697
2017-01-04,106697
2017-01-11,106697
2017-01-18,104106
2017-01-25,104106
2017-02-01,104930
2017-02-08,104930
2017-02-15,104930
2017-02-22,104930
2017-03-01,105901
2017-03-08,105901
2017-03-15,105901
2017-03-22,105901
2017-03-29,105901
2017-04-05,107233
2017-04-12,107233
2017-04-19,106803
2017-04-26,106803
2017-05-03,106803
2017-05-10,106803
2017-05-17,106803
2017-05-24,106803
2017-05-31,108126
2017-06-07,108126
2017-06-14,108126
2017-06-21,108126
2017-06-28,108126
2017-07-05,108734
2017-07-12,108734
2017-07-19,107651
2017-07-26,107651
2017-08-02,108973
2017-08-09,108973
2017-08-16,108973
2017-08-23,108973
2017-08-30,108973
2017-09-06,109412
2017-09-13,109412
2017-09-20,109412
2017-09-27,109412
2017-10-04,109412
2017-10-11,109412
2017-10-18,109412
2017-10-25,109412
2017-11-01,109537
2017-11-08,109537
2017-11-15,109537
2017-11-22,109537
2017-11-29,109537
2017-12-06,110134
2017-12-13,110134
2017-12-20,110134
2017-12-27,110134
2018-01-03,110134
2018-01-10,110134
2018-01-17,107503
2018-01-24,107503
2018-01-31,109413
2018-02-07,109413
2018-02-14,109413
2018-02-21,109413
2018-02-28,111220
2018-03-07,111220
2018-03-14,111220
2018-03-21,111220
2018-03-28,111220
2018-04-04,111220
2018-04-11,111120
2018-04-18,110907
2018-04-25,110907
2018-05-02,112949
2018-05-09,112949
2018-05-16,112949
2018-05-23,112949
2018-05-30,112949
2018-06-06,114860
2018-06-13,114860
2018-06-20,114860
2018-06-27,114860.0
2018-07-04,114860.0
2018-07-11,114860.0
2018-07-18,113886.0
2018-07-25,113886.0
2018-08-01,114592.0
2018-08-08,114592.0
2018-08-15,114592.0
2018-08-22,114592.0
2018-08-29,114592.0
2018-09-05,115579.0
2018-09-12,115579.0
2018-09-19,115579.0
2018-09-26,115579.0
2018-10-03,115579.0
2018-10-10,115579.0
2018-10-17,115579.0
2018-10-24,115579.0
2018-10-31,115579.0
2018-11-07,115579.0
2018-11-14,115579.0
2018-11-21,115579.0
2018-11-28,115579.0
2018-12-05,116545.0
2018-12-12,116545.0
2018-12-19,116545.0
2018-12-26,116545.0
2019-01-02,116545.0
2019-01-09,116545.0
2019-01-16,114769.0
2019-01-23,114769.0
2019-01-30,114769.0
2019-02-06,114769.0
2019-02-13,114769.0
2019-02-20,114769.0
2019-02-27,114769.0
2019-03-06,115154.0
2019-03-13,115154.0
2019-03-20,115154.0
2019-03-27,115154.0
2019-04-03,115154.0
2019-04-10,115154.0
2019-04-17,115144.0
2019-04-24,115144.0
2019-05-01,115361.0
2019-05-08,115361.0
2019-05-15,115361.0
2019-05-22,115361.0
2019-05-29,115361.0
2019-06-05,116516.0
2019-06-12,116516.0
2019-06-19,116516.0
2019-06-26,116516.0
2019-07-03,116516.0
2019-07-10,116516.0
2019-07-17,115989.0
2019-07-24,115989.0
2019-07-31,116545.0
2019-08-07,116545.0
2019-08-14,116545.0
2019-08-21,116545.0
2019-08-28,116545.0
2019-09-04,116545.0
2019-09-11,118146.0
2019-09-18,118146.0
2019-09-25,118146.0
2019-10-02,119392.0
2019-10-09,120993.0
2019-10-16,120993.0
2019-10-23,120993.0
2019-10-30,120993.0
2019-11-06,122771.0
2019-11-13,124372.0
2019-11-20,124372.0
2019-11-27,124372.0
2019-12-04,124372.0
2019-12-11,125973.0
2019-12-18,125973.0
2019-12-25,125973.0
2020-01-01,127384.0
2020-01-08,127384.0
2020-01-15,128005.0
2020-01-22,128005.0
2020-01-29,128005.0
2020-02-05,129451.0
2020-02-12,131052.0
2020-02-19,131052.0
2020-02-26,131052.0
2020-03-04,131052.0
2020-03-11,132653.0
2020-03-18,138653.0
2020-03-25,166932.0
2020-04-01,191725.0
2020-04-08,210625.0
2020-04-15,222692.0
2020-04-22,233692.0
2020-04-29,242290.0
2020-05-06,248266.0
2020-05-13,252016.0
2020-05-20,255266.0
2020-05-27,257451.0
2020-06-03,259151.0
2020-06-10,261151.0
2020-06-17,264552.0
2020-06-24,264552.0
2020-07-01,270206.0
2020-07-08,270206.0
2020-07-15,266914.0
2020-07-22,268113.0
2020-07-29,270514.0
2020-08-05,273306.0
2020-08-12,275707.0
2020-08-19,275707.0
2020-08-26,276906.0
2020-09-02,279915.0
2020-09-09,281116.0
2020-09-16,285918.0
2020-09-23,285918.0
2020-09-30,288760.0
2020-10-07,288760.0
2020-10-14,291159.0
2020-10-21,294761.0
2020-10-28,295962.0
2020-11-04,297163.0
2020-11-11,297163.0
2020-11-18,299562.0
2020-11-25,303162.0
2020-12-02,304826.0
2020-12-09,308426.0
2020-12-16,308426.0
2020-12-23,312024.0
2020-12-30,312024.0
2021-01-06,314307.0
2021-01-13,317909.0
2021-01-20,313218.0
2021-01-27,315619.0
2021-02-03,318021.0
2021-02-10,320422.0
2021-02-17,320422.0
2021-02-24,324023.0
2021-03-03,326422.0
2021-03-10,327623.0
2021-03-17,327623.0
2021-03-24,331223.0
2021-03-31,334757.0
2021-04-07,334757.0
2021-04-14,337158.0
2021-04-21,330215.0
2021-04-28,332616.0
2021-05-05,336054.0
2021-05-12,339656.0
2021-05-19,340855.0
2021-05-26,342856.0
2021-06-02,342856.0
2021-06-09,346058.0
2021-06-16,347259.0
2021-06-23,349258.0
2021-06-30,352886.0
2021-07-07,352886.0
2021-07-14,354887.0
2021-07-21,346944.0
2021-07-28,348943.0
2021-08-04,350142.0
2021-08-11,350142.0
2021-08-18,353344.0
2021-08-25,355345.0
2021-09-01,357551.0
2021-09-08,357551.0
2021-09-15,359552.0
2021-09-22,362754.0
2021-09-29,362754.0
2021-10-06,366441.0
2021-10-13,367642.0
2021-10-20,369643.0
2021-10-27,370842.0
2021-11-03,372843.0
2021-11-10,374042.0
2021-11-17,374042.0
2021-11-24,375793.0
2021-12-01,377998.0
2021-12-08,380800.0
2021-12-15,380800.0
2021-12-22,383200.0
2021-12-29,383200.0
2022-01-05,387010.0
2022-01-12,387911.0
2022-01-19,379498.0
2022-01-26,381497.0
2022-02-02,385089.0
2022-02-09,385089.0
2022-02-16,385089.0
2022-02-23,386090.0
2022-03-02,388233.0
2022-03-09,388233.0
2022-03-16,388233.0
2022-03-23,388233.0
2022-03-30,388233.0
2022-04-06,390840.0
2022-04-13,390840.0
2022-04-20,380862.0
2022-04-27,380862.0
